x u_numerica u_exacta error
0.000000 0.000000 0.000000 0.000000
0.010101 0.030200 0.030200 0.000000
0.020202 0.060370 0.060370 0.000000
0.030303 0.090479 0.090479 0.000000
0.040404 0.120497 0.120497 0.000000
0.050505 0.150394 0.150394 0.000000
0.060606 0.180139 0.180139 0.000001
0.070707 0.209703 0.209703 0.000001
0.080808 0.239056 0.239055 0.000001
0.090909 0.268168 0.268167 0.000001
0.101010 0.297010 0.297009 0.000001
0.111111 0.325553 0.325552 0.000001
0.121212 0.353768 0.353767 0.000001
0.131313 0.381627 0.381626 0.000001
0.141414 0.409101 0.409100 0.000001
0.151515 0.436164 0.436163 0.000001
0.161616 0.462788 0.462786 0.000001
0.171717 0.488945 0.488944 0.000001
0.181818 0.514610 0.514609 0.000002
0.191919 0.539757 0.539756 0.000002
0.202020 0.564361 0.564359 0.000002
0.212121 0.588396 0.588395 0.000002
0.222222 0.611839 0.611837 0.000002
0.232323 0.634666 0.634664 0.000002
0.242424 0.656853 0.656852 0.000002
0.252525 0.678380 0.678378 0.000002
0.262626 0.699223 0.699221 0.000002
0.272727 0.719362 0.719360 0.000002
0.282828 0.738777 0.738775 0.000002
0.292929 0.757448 0.757446 0.000002
0.303030 0.775356 0.775354 0.000002
0.313131 0.792484 0.792481 0.000002
0.323232 0.808813 0.808811 0.000002
0.333333 0.824329 0.824326 0.000002
0.343434 0.839014 0.839011 0.000002
0.353535 0.852854 0.852852 0.000002
0.363636 0.865836 0.865833 0.000003
0.373737 0.877945 0.877943 0.000003
0.383838 0.889171 0.889168 0.000003
0.393939 0.899501 0.899499 0.000003
0.404040 0.908926 0.908924 0.000003
0.414141 0.917436 0.917433 0.000003
0.424242 0.925021 0.925019 0.000003
0.434343 0.931676 0.931673 0.000003
0.444444 0.937392 0.937389 0.000003
0.454545 0.942164 0.942161 0.000003
0.464646 0.945988 0.945985 0.000003
0.474747 0.948859 0.948856 0.000003
0.484848 0.950774 0.950772 0.000003
0.494949 0.951733 0.951730 0.000003
0.505051 0.951733 0.951730 0.000003
0.515152 0.950774 0.950772 0.000003
0.525253 0.948859 0.948856 0.000003
0.535354 0.945988 0.945985 0.000003
0.545455 0.942164 0.942161 0.000003
0.555556 0.937392 0.937389 0.000003
0.565657 0.931676 0.931673 0.000003
0.575758 0.925021 0.925019 0.000003
0.585859 0.917436 0.917433 0.000003
0.595960 0.908926 0.908924 0.000003
0.606061 0.899501 0.899499 0.000003
0.616162 0.889171 0.889168 0.000003
0.626263 0.877945 0.877943 0.000003
0.636364 0.865836 0.865833 0.000003
0.646465 0.852854 0.852852 0.000002
0.656566 0.839014 0.839011 0.000002
0.666667 0.824329 0.824326 0.000002
0.676768 0.808813 0.808811 0.000002
0.686869 0.792484 0.792481 0.000002
0.696970 0.775356 0.775354 0.000002
0.707071 0.757448 0.757446 0.000002
0.717172 0.738777 0.738775 0.000002
0.727273 0.719362 0.719360 0.000002
0.737374 0.699223 0.699221 0.000002
0.747475 0.678380 0.678378 0.000002
0.757576 0.656853 0.656852 0.000002
0.767677 0.634666 0.634664 0.000002
0.777778 0.611839 0.611837 0.000002
0.787879 0.588396 0.588395 0.000002
0.797980 0.564361 0.564359 0.000002
0.808081 0.539757 0.539756 0.000002
0.818182 0.514610 0.514609 0.000002
0.828283 0.488945 0.488944 0.000001
0.838384 0.462788 0.462786 0.000001
0.848485 0.436164 0.436163 0.000001
0.858586 0.409101 0.409100 0.000001
0.868687 0.381627 0.381626 0.000001
0.878788 0.353768 0.353767 0.000001
0.888889 0.325553 0.325552 0.000001
0.898990 0.297010 0.297009 0.000001
0.909091 0.268168 0.268167 0.000001
0.919192 0.239056 0.239055 0.000001
0.929293 0.209703 0.209703 0.000001
0.939394 0.180139 0.180139 0.000001
0.949495 0.150394 0.150394 0.000000
0.959596 0.120497 0.120497 0.000000
0.969697 0.090479 0.090479 0.000000
0.979798 0.060370 0.060370 0.000000
0.989899 0.030200 0.030200 0.000000
1.000000 0.000000 0.000000 0.000000
